municipality,sk_0,hg,dsk,sk_maks
Hjelmeland,1.5,150,1.0,1000000.0
Hå,1.5,150,0.5,1000000.0
Karmøy,1.5,150,0.5,1000000.0
Klepp,1.5,150,0.5,1000000.0
Kvitsøy,1.5,150,0.5,1000000.0
Lund,3.0,150,0.5,7.5
Randaberg,1.5,150,0.5,1000000.0
Sandnes,1.5,150,0.5,1000000.0
Sauda,2.5,150,1.0,1000000.0
Sokndal,2.5,150,0.5,1000000.0
Sola,1.5,150,0.5,1000000.0
Stavanger,1.5,150,0.5,1000000.0
Strand,1.5,150,1.0,1000000.0
Suldal,2.5,150,1.0,1000000.0
Time,1.5,150,0.5,7.5
Tysvær,2.0,150,0.5,1000000.0
Vindafjord,2.0,150,0.5,1000000.0
Askøy,1.5,150,0.5,1000000.0
Austevoll,1.5,150,0.5,1000000.0
Austrheim,1.5,150,0.5,1000000.0
Bergen,2.0,150,0.5,1000000.0
Bømlo,1.5,150,0.5,1000000.0
Eidfjord,3.0,150,1.0,1000000.0
Etne,2.0,150,0.5,1000000.0
Fedje,1.5,150,0.5,1000000.0
Fitjar,1.5,150,0.5,1000000.0
Fusa,3.0,150,0.5,1000000.0
Jondal,2.5,150,1.0,1000000.0
Kvam,2.5,150,1.0,1000000.0
Kvinnherad,2.0,150,1.0,1000000.0
Lindås,2.5,150,0.5,1000000.0
Masfjorden,3.0,150,1.0,1000000.0
Meland,1.5,150,0.5,1000000.0
Modalen,3.0,150,1.0,1000000.0
Odda,2.5,150,1.0,1000000.0
Os Vestland,2.0,150,0.5,1000000.0
Osterøy,2.5,150,0.5,1000000.0
Voss,3.0,150,1.0,7.5
Øygarden,1.5,150,0.5,1000000.0
Ullensvang,2.5,150,1.0,1000000.0
Alver,2.5,150,0.5,1000000.0
Vaksdal,3.5,150,1.0,1000000.0
Samnanger,3.0,250,1.0,1000000.0
Ulvik,3,150,1.0,1000000.0
Sveio,2.0,150,0.5,1000000.0
Stord,2,150,0.5,1000000.0
Tysnes,2.0,150,0.5,1000000.0
Askvoll,2.5,150,1.0,1000000.0
Aurland,2.5,150,1.0,1000000.0
Bremanger,2.5,150,1.0,1000000.0
Stad,4.0,150,1.0,1000000.0
Fjaler,3.0,150,1.0,1000000.0
Kinn,2.5,150,1.0,1000000.0
Førde,3.5,150,1.0,1000000.0
Gloppen,3.5,150,1.0,1000000.0
Gulen,2.5,150,1.0,1000000.0
Hornindal,4.0,150,1.0,7.5
Hyllestad,2.5,150,1.0,1000000.0
