municipality,var
Hjartdal,"[(59.617471626920526, 8.923920216598365)]"
Kragerø,"[(58.86485808298433, 9.404397083579507)]"
Kviteseid,"[(59.40624014853304, 8.467300131528186)]"
Nissedal,"[(59.1627136070172, 8.461360477305313)]"
Nome,"[(59.28183963490278, 9.26554535137351)]"
Notodden,"[(59.56037143187433, 9.253571447167937)]"
Porsgrunn,"[(59.14552467406732, 9.656319629372412)]"
Seljord,"[(59.48631491942725, 8.628875968446108)]"
Siljan,"[(59.29145227241833, 9.703759919906556)]"
Skien,"[(59.20666946115716, 9.611647692450248)]"
Tinn,"[(59.88069088788024, 8.58908772010146)]"
Tokke,"[(59.444034083533595, 7.982259532702784)]"
Vinje,"[(59.57070179412798, 7.991305844709362)]"
Midt-Telemark,"[(59.41692462122361, 9.06601067922544)]"
Arendal,"[(58.45724609294922, 8.76517688979368)]"
Birkenes,"[(58.331383937509514, 8.23942816513756)]"
Bygland,"[(58.82979601566674, 7.794551192372766)]"
Bykle,"[(59.355108570178515, 7.365066674644748)]"
Evje og Hornnes,"[(58.56658884445655, 7.762706511704896)]"
Froland,"[(58.513854283101956, 8.634616721252781)]"
Gjerstad,"[(58.883540160355125, 9.018818419810126)]"
Grimstad,"[(58.349787608253344, 8.595749456836444)]"
Iveland,"[(58.45837578152169, 7.922653267781454)]"
Lillesand,"[(58.24841347647701, 8.374916179247366)]"
Risør,"[(58.7216719063064, 9.219794274238673)]"
Tvedestrand,"[(58.618082002194406, 8.926323016607137)]"
Valle,"[(59.2118813312555, 7.5379462039707645)]"
Vegårshei,"[(58.75040319358129, 8.868524901630227)]"
Åmli,"[(58.76750139556879, 8.48405632287392)]"
Farsund,"[(58.09244440599565, 6.786602106903921)]"
Flekkefjord,"[(58.30137034542887, 6.669344205637654)]"
Hægebostad,"[(58.48797502271758, 7.193503997204051)]"
Kristiansand,"[(58.14732480716318, 8.001841163435643)]"
Kvinesdal,"[(58.319872265968364, 6.956505908555459)]"
Lindesnes,"[(58.025401794883486, 7.448118145448161)]"
Lyngdal,"[(58.13733206307926, 7.066196924793356)]"
Sirdal,"[(58.665703292065494, 6.720632243329871)]"
Vennesla,"[(58.27212883269253, 7.977125206226998)]"
Åseral,"[(58.61805120558709, 7.406368879375637)]"
Bjerkreim,"[(58.586616967721035, 6.0824416925885645)]"
Bokn,"[(59.22696302432289, 5.438429425714797)]"
Eigersund,"[(58.45406251217487, 5.995663098528839)]"
Gjesdal,"[(58.77613517468846, 5.824773647990478)]"
Haugesund,"[(59.41397471089693, 5.2788281966881945)]"
Hjelmeland,"[(59.23441042690555, 6.176972291962111)]"
Hå,"[(58.61824970496028, 5.641379776347099)]"
Karmøy,"[(59.27990007826947, 5.299768087647344)]"
